Author,Title
Aristotle,Poetics
Aristotle,Rhetoric
Horace,Ars Poetica / Art of Poetry
Longinus,On the Sublime
Philip Sidney,An Apology for Poetry
Pierre Corneille,Of the Three Unities
John Dryden,An Essay of Dramatic Poesy
Nicolas Boileau-Despreaux,The Art of Poetry
John Dennis,The Advancement and Reformation of Modern Poetry
Alexander Pope,An Essay on Criticism
Joseph Warton,An Essay on the Genius and Writings of Pope
Joseph Addison,"The Spectator (1712 volume; numbers 411, 416, 418)"
Giambattista Vico,The New Science
Thomas Warton,The History of English Poetry
Edmund Burke,A Philosophical Enquiry into the Origin of our Ideas of the Sublime and the Beautiful
David Hume,"""Of the Standard of Taste"" in Four Dissertations"
Samuel Johnson,Preface to Shakespeare
Samuel Johnson,Lives of the Poets
Samuel Johnson,"Rambler (1750 volume, number 4)"
Edward Young,Conjectures on Original Composition
Joshua Reynolds,Discourses on Art
Immanuel Kant,Critique of Judgment
Friedrich von Schiller,Letters on the Aesthetic Education of Man
Denis Diderot,Rameau's Nephew
Denis Diderot,Salons
William Wordsworth,"""Preface,"" Lyrical Ballads -- 1800 edition"
Samuel Taylor Coleridge,Biographia Literaria
Samuel Taylor Coleridge,On the Principles of Genial Criticism
Friedrich Wilhelm von Schelling,On the Relation of the Plastic Arts to Nature
John Keats,Letters
Jean-Jacques Rousseau,Letter to M. D'Alembert on Spectacles
Thomas Love Peacock,The Four Ages of Poetry
Percy Bysshe Shelley,A Defense of Poetry
Johann Wolfgang von Goethe,Conversations with Eckermann
Georg Wilhelm Friedrich Hegel,The Philosoophy of Fine Art
Thomas Carlyle,Sartor Resartus
John Stuart Mill,"""What is Poetry?"" Monthly Repository -- 1833"
John Stuart Mill,Thoughts on Poetry and Its Varieties
Charles-Augustin Sainte-Beuve,"""What is a Classic?"" in Select Essays"
Matthew Arnold,The Function of Criticism at the Present Time
Matthew Arnold,The Study of Poetry
Hippolyte Taine,The History of English Literature
John Ruskin,Modern Painters
Charles Baudelaire,The Salon of 1859
Friedrich Nietzsche,The Birth of Tragedy from the Spirit of Music
Walter Pater,Studies in the History of the Renaissance
Emile Zola,The Experimental Novel
Henry James,The Art of the Novel
Henry James,French Poets and Novelists
Henry James,Hawthorne
Henry James,Parial Portraits
Henry James,View and Reviews
Henry James,Notes on Novelists
Henry James,Within the Rim and Other Essays
Henry James,Notes and Reviews
Oscar Wilde,The Decay of Lying
 Anatole France (trans. A. W. Evans),On Life and Letters
Ludwig Lewisohn,A Modern Book of Criticism
Stephane Mallarme (trans. Bradford Cook),"Mallarme: Selected Prose Poems, Essays, and Letters"
Hayse Cooperman,The Aesthetics of Mallarme
Leo Tolstoy,What Is Art?
George Santayana,The Nature of Beauty
William Butler Yeats,The Symbolism of Poetry
Benedetto Croce,Aesthetic
A. C. Bradley,Poetry for Poetry's Sake
Sigmund Freud,Interpretation of Dreams
Sigmund Freud,Creative Writers and Daydreaming
T. E. Hulme,Speculations: Essays on Humanism and the Philosophy of Art
T. S. Eliot,Tradition and the Individual Talent
T. S. Eliot,Selected Essays
Irving Babbitt,Rousseau and Romanticism
C. G. Osgood,Boccaccio on Poetry
Maud Bodkin,Archetypal Patterns in Poetry
Northrop Frye,Anatomy of Criticism
 Leon Trotsky (trans. Rose Strumsky),Literature and Revolution
"Lee T. Lemon and Marion J. Reis, trans.",Russian Formalist Criticism
I. A. Richards,Principles of Literary Criticism
I. A. Richards,Science and Poetry
I. A. Richards,Practical Criticism
J. C. Ransom,The New Criticism
J. C. Ransom,The World's Body
R. S. Crane,Critics and Criticism
Murray Krieger,The New Apologists for Poetry
R. P. Blackmur,The Double Agent: Essays in Craft and Elucidation
Edmund Wilson,Marxism and Literature
Paul Valery,Poetry and Abstract Thought (vol. 7 of Collected Works)
Kenneth Burke,The Philosophy of Literary Form
Kenneth Burke,A Grammar of Motives
Kenneth Burke,A Rhetoric of Motives
Lionel Trilling,The Liberal Imagination
Wallace Stevens,The Necessary Angel
Robert Penn Warren and Cleanth Brooks,Understanding Poetry
Robert Penn Warren and Cleanth Brooks,Understanding Fiction
Ernst Cassirer,The Philosophy of Symbolic Forms
W. K. Wimsatt and Cleanth Brooks,Literary Criticism
W. K. Wimsatt and Monroe C. Beardsley,The Verbal Icon
Cleanth Brooks,The Well Wrought Urn
Jan Mukarovsky,"A Prague School Reader on Esthetics, Literary Structure, and Style"
R. S. Crane,The Languages of Criticism and the Structure of Poetry
Northrop Frye,Fearful Symmetry
Northrop Frye,The Well-Tempered Critic
Northrop Frye,The Educated Imagination
Northrop Frye,A Natural Perspective
Gaston Bachelard,The Poetics of Space
E. D. Hirsch,Validity in Interpretation
Roland Barthes,Elements of Semiology
Roland Barthes,Image Music Text
Roland Barthes,S/Z
"Richard Macksey and Eugenio Donato, eds.",The Languages of Criticism and the Sciences of Man: The Structuralist Controvery
