file	label	title	auth	year	freq	htid	path	words	read	pre	verb	nounp	PC0	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9
loc.ark+=13960=t0000w06f	ed	The character diploma an incentive to moral conduct and good citizenship in public school training,	Rittenhouse, Hawley Olmstead. [from old catalog]	1922.0	0.114008469	loc.ark:/13960/t0000w06f	basic/loc/pairtree_root/ar/k+/=1/39/60/=t/00/00/w0/6f/ark+=13960=t0000w06f/loc.ark+=13960=t0000w06f.basic.json.bz2	207841.0	13.29190688176951	0.464052454007257	0.12866566269407864	0.030937110579722	0.27925685952745344	-0.11119850251974811	0.24997695631137115	0.037708886164342904	-0.11298155578011071	0.08427081056588322	-0.20385606506060022	0.06548166227576768	-0.05316860258560258	0.05302144153683532
loc.ark+=13960=t00z7sr8b	ed	The possibility of a science of education / by Samuel Bower Sinclair.	Sinclair, Samuel Bower, 1855-	1903.0	0.10274745099999999	loc.ark:/13960/t00z7sr8b	basic/loc/pairtree_root/ar/k+/=1/39/60/=t/00/z7/sr/8b/ark+=13960=t00z7sr8b/loc.ark+=13960=t00z7sr8b.basic.json.bz2	8211.0	7.816334047847384	0.5318155283129014	0.15113871635610765	0.010473754719279017	0.35501523694465115	0.09340558296611111	0.35787017001191734	-0.017597397155306803	-0.04024776254481185	0.16154938371536912	-0.01949599251112452	-0.03417360908322043	0.03488916081109204	0.002782060924611576
loc.ark+=13960=t01z4ks70	soc	Our national development; an address delivered before the alumni of the University of Pennsylvania, at their annual reunion, June seventeenth, 1902,	Hill, David Jayne, 1850-1932.	1902.0	0.111909972	loc.ark:/13960/t01z4ks70	basic/loc/pairtree_root/ar/k+/=1/39/60/=t/01/z4/ks/70/ark+=13960=t01z4ks70/loc.ark+=13960=t01z4ks70.basic.json.bz2	6198.0	15.967836568732313	0.41003316749585406	0.14488544691836075	0.01565020974507906	0.1957686709755654	-0.24747079757118232	-0.19285414838269974	0.02662569241677964	0.022853870991819968	-0.01916787464626118	0.17299480024992037	0.162775167093696	0.11262581459959305	-0.02334506989793973
loc.ark+=13960=t02z20g9f	soc	The alienation of the educated class from politics.	Diman, Jeremiah Lewis, 1831-1881. [from old catalog]	1876.0	0.10822090699999999	loc.ark:/13960/t02z20g9f	basic/loc/pairtree_root/ar/k+/=1/39/60/=t/02/z2/0g/9f/ark+=13960=t02z20g9f/loc.ark+=13960=t02z20g9f.basic.json.bz2	84483.0	14.026086684523992	0.5120026405809278	0.12126700046163133	0.02907093734834227	0.16813732816561605	-0.19868041719484505	-0.2023541878264253	-0.042993035587902004	-0.05892581912631857	0.04404943610232125	0.12455594054880832	0.08908165282911394	0.052765384966717205	0.00658256052043438
loc.ark+=13960=t03x8r043	x	Special report of commissioners on diseases of domesticated animals.	Connecticut. Commissioners and diseases of domesticated animals. [from old catalog]; Hyde, E. H. [from old catalog]	1890.0	0.11120332	loc.ark:/13960/t03x8r043	basic/loc/pairtree_root/ar/k+/=1/39/60/=t/03/x8/r0/43/ark+=13960=t03x8r043/loc.ark+=13960=t03x8r043.basic.json.bz2	12572.0	10.678146412781587	0.4404476418864908	0.14587973273942093	0.022748965956092906	0.15917737873917748	-0.048057601993304375	-0.04880800628305004	0.2756399050829634	-0.00942175693742337	-0.10415271709035716	-0.018227807452687452	-0.09636033873040671	-0.0932100264826321	-0.010318640818609214
loc.ark+=13960=t03x8rr1h	ed	Some fundamental veritie in education,	Groszmann, Maximilian Paul Eugen, 1855-	1911.0	0.100616193	loc.ark:/13960/t03x8rr1h	basic/loc/pairtree_root/ar/k+/=1/39/60/=t/03/x8/rr/1h/ark+=13960=t03x8rr1h/loc.ark+=13960=t03x8rr1h.basic.json.bz2	77749.0	11.992682250719156	0.3843597919113945	0.12389869966173199	0.033865387336171525	0.22433043130113808	0.06971534675237745	0.34490662617052575	-0.027375050004866147	-0.06981184344810795	-0.018765965135252888	0.01836864750601717	0.010685087125660806	0.08444930437972235	0.014753714700957259
loc.ark+=13960=t03x91058	theo	Religion in public instruction. Baccalaureate address delivered before the graduating class of Antioch college, Yellow Springs, Ohio, June 20, 1860.	Hill, Thomas, 1818-1891.	1860.0	0.110757743	loc.ark:/13960/t03x91058	basic/loc/pairtree_root/ar/k+/=1/39/60/=t/03/x9/10/58/ark+=13960=t03x91058/loc.ark+=13960=t03x91058.basic.json.bz2	7378.0	11.905954083935022	0.5439658241367035	0.1341827053402006	0.027514231499051234	-0.03835872589249861	-0.012433626600747715	0.11823044322423248	0.0683521989371655	-0.01416648204756591	0.21271227954222405	0.1165654043650194	-0.0696390570710247	-0.03328967706304604	0.0355466021128081
loc.ark+=13960=t04x5xs16	ed	Fundamentals of education,	Bode, Boyd Henry, 1873-1953.	1921.0	0.106599296	loc.ark:/13960/t04x5xs16	basic/loc/pairtree_root/ar/k+/=1/39/60/=t/04/x5/xs/16/ark+=13960=t04x5xs16/loc.ark+=13960=t04x5xs16.basic.json.bz2	218928.0	12.435074253374633	0.4544323991608778	0.1155996491997369	0.048915625228385586	0.18425734183803502	0.11495107187058673	0.1396495957233759	-0.19153284819805888	-0.006867231724324806	0.012070694390745151	-0.05662731388141903	-0.04823859715049671	0.09440966207765823	0.036737059014401094
loc.ark+=13960=t05x2m306	?	Virginia first and Lee; an address by Henry W. Anderson delivered at Richmond, Virginia, on Virginia day, January 22, 1917.	Anderson, Henry Watkins, 1870-	1917.0	0.109306261	loc.ark:/13960/t05x2m306	basic/loc/pairtree_root/ar/k+/=1/39/60/=t/05/x2/m3/06/ark+=13960=t05x2m306/loc.ark+=13960=t05x2m306.basic.json.bz2	55488.0	13.333820517296584	0.4113821910005696	0.12581098615916955	0.039251730103806226	0.17631000841326205	-0.2729095530684028	-0.2925488832728663	0.08429656361947098	-0.1711175715264426	0.02170539133688965	0.05272992366645808	0.239585238878806	0.12589457802295187	-0.1682050781030036
loc.ark+=13960=t05x3490g	?	Address by the secretary of state of the United States of America as honorary vice-president of the third conference of American republics at Rio de Janeiro,	Root, Elihu, 1845-1937.; International American Conference Rio de Janeiro, Brazil)	1906.0	0.104030501	loc.ark:/13960/t05x3490g	basic/loc/pairtree_root/ar/k+/=1/39/60/=t/05/x3/49/0g/ark+=13960=t05x3490g/loc.ark+=13960=t05x3490g.basic.json.bz2	10694.0	12.655488733224928	0.45731987150068837	0.13456143631943146	0.029829811109033103	0.18672426920410468	-0.22012248098050904	-0.18510786287085068	0.12602919313854782	-0.07740335404657268	-0.005125104052827061	0.066684931014889	0.17910235737748123	0.11716847759757566	0.03326366123187123
loc.ark+=13960=t06x00436	ed	Elements of pedagogics,	Patrick, J[ames] N. [from old catalog]	1895.0	0.105923017	loc.ark:/13960/t06x00436	basic/loc/pairtree_root/ar/k+/=1/39/60/=t/06/x0/04/36/ark+=13960=t06x00436/loc.ark+=13960=t06x00436.basic.json.bz2	8687.0	14.382371208536018	0.397399660825325	0.14032462299988488	0.03603085069644296	0.19859018858954483	0.056960273563784095	0.33084709684461433	0.02365851758379856	-0.1612561484336539	0.06953678095753628	-0.055356128942825704	0.04962682614096879	0.0438223824871271	-0.02979951164770375
loc.ark+=13960=t08w40290	x	The happy Christian, a didactic poem.	Harlan, Clinton L. [from old catalog]	1877.0	0.108884236	loc.ark:/13960/t08w40290	basic/loc/pairtree_root/ar/k+/=1/39/60/=t/08/w4/02/90/ark+=13960=t08w40290/loc.ark+=13960=t08w40290.basic.json.bz2	108653.0	11.41803447373239	0.4410981356279451	0.12534398497970603	0.040100135293089006	-0.24676435659609966	-0.22866896083029062	0.07637945235107373	0.2164954122380812	-0.07895678820143066	-0.006662127225977192	-0.06162095838261055	-0.017625121874621705	-0.05031901075729586	0.1065855999829493
loc.ark+=13960=t09w0tb99	ed	The American historical school:	Marsh, George P[erkins] [from old catalog]	1847.0	0.10553319900000001	loc.ark:/13960/t09w0tb99	basic/loc/pairtree_root/ar/k+/=1/39/60/=t/09/w0/tb/99/ark+=13960=t09w0tb99/loc.ark+=13960=t09w0tb99.basic.json.bz2	136532.0	13.148971155311369	0.4568609074370142	0.14570210646588347	0.01222424047109835	0.14982526636956375	-0.14200930036977744	-0.10525361697407266	-0.04580948494207072	-0.034120687519605515	0.08733617325386359	0.15791508772088458	0.05695281014247387	-0.0687981880250333	-0.05891203249224178
loc.ark+=13960=t09w0z587	soc	Some constructive aspects of the war [by] Charles McLean Andrews ...	Andrews, Charles McLean, 1863-1943.	1917.0	0.109308284	loc.ark:/13960/t09w0z587	basic/loc/pairtree_root/ar/k+/=1/39/60/=t/09/w0/z5/87/ark+=13960=t09w0z587/loc.ark+=13960=t09w0z587.basic.json.bz2	2650.0	11.510608906919366	0.4663265306122449	0.1169811320754717	0.050566037735849056	0.1618105823144988	-0.21793435758205104	-0.2294093227628777	-0.004466061350700666	-0.005504844460168562	-0.03231241362994315	0.17431675444140704	0.2035935215538751	0.19529745390360914	0.021197716346224214
loc.ark+=13960=t09w16533	soc	The way to democracy, to world peace; volunteer drawn democracy.	[Keefe, Thomas] [from old catalog]	1919.0	0.102829985	loc.ark:/13960/t09w16533	basic/loc/pairtree_root/ar/k+/=1/39/60/=t/09/w1/65/33/ark+=13960=t09w16533/loc.ark+=13960=t09w16533.basic.json.bz2	276867.0	13.999469880769894	0.3350465342408668	0.11242220994195769	0.049886768737335975	0.21015179239917423	-0.18439388866378792	-0.1783672895193669	0.19810065470548546	-0.07509162818748255	-0.0557612612215801	0.04832714930301665	0.06743252267743131	0.12230779923556954	0.04996434690044844
loc.ark+=13960=t0cv52v36	x	Shakespeare ; a syllabus of twelve lectures, by Edward Howard Griggs.	Griggs, Edward Howard, 1868-1951.	1904.0	0.100755249	loc.ark:/13960/t0cv52v36	basic/loc/pairtree_root/ar/k+/=1/39/60/=t/0c/v5/2v/36/ark+=13960=t0cv52v36/loc.ark+=13960=t0cv52v36.basic.json.bz2	25054.0	12.75459589268602	0.45474837662337664	0.12736489183363933	0.027580426279236847	0.07859955646815163	-0.11319626044762392	0.044647336598638794	0.2245730378825265	0.11910768168217802	-0.14223433761694018	-0.05649315449713489	0.0982912826714863	-0.11125103282914543	0.008476189348770865
