	label	title	auth	year	freq	htid	file	path	words	read	pre	verb	nounp
0	theo	"Will higher of God and free will of life made by the authors of ""Thought for help""; William C. Comstock, amanuensis; with a foreword by Rev. Joseph A. Milburn."	Comstock, William Charles, 1847-1924.	1914.0	0.26259989699999997	uc2.ark:/13960/t4jm2cj7x	uc2.ark+=13960=t4jm2cj7x	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/4j/m2/cj/7x/ark+=13960=t4jm2cj7x/uc2.ark+=13960=t4jm2cj7x.basic.json.bz2	34260.0	5.160495443406571	0.7843700159489633	0.14244016345592528	0.04019264448336252
1	theo	"Man, the life free, by the authors of ""Thought for help,"" ""Will higher of God,"" and ""Man's life of purpose."" William C. Comstock, amanuensis; with a foreword by Rev. Joseph A. Milburn."	Comstock, William Charles, 1847-1924.	1916.0	0.257248005	uc2.ark:/13960/t6j105c55	uc2.ark+=13960=t6j105c55	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/6j/10/5c/55/ark+=13960=t6j105c55/uc2.ark+=13960=t6j105c55.basic.json.bz2	52718.0	4.743444913918481	0.8139563155975199	0.13564626882658676	0.03605978982510717
2	theo	Thought for help, from those who know men's need; William C. Comstock, amanuensis; with a foreword by Rev. Joseph A. Milburn.	Comstock, William Charles, 1847-1924.	1913.0	0.218047164	uc2.ark:/13960/t2f76gd3p	uc2.ark+=13960=t2f76gd3p	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/2f/76/gd/3p/ark+=13960=t2f76gd3p/uc2.ark+=13960=t2f76gd3p.basic.json.bz2	58438.0	4.890272307385729	0.7693141772838168	0.15554947123447072	0.03893014819124542
3	ed	The metaphysics of education. [By] Arthur C Fleshman ...	Fleshman, Arthur Cary.	1914.0	0.17425281399999998	loc.ark:/13960/t97664b0x	loc.ark+=13960=t97664b0x	basic/loc/pairtree_root/ar/k+/=1/39/60/=t/97/66/4b/0x/ark+=13960=t97664b0x/loc.ark+=13960=t97664b0x.basic.json.bz2	48404.0	13.85898781357523	0.3780119711464675	0.1342657631600694	0.03778613337740683
4	ed	Syllabus of a course on the philosophy of education. Education 102-philosophy 12. By John Angus MacVannel...	MacVannel, John Angus, 1871-1915.	1904.0	0.16989525	uc2.ark:/13960/t18k7739n	uc2.ark+=13960=t18k7739n	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/18/k7/73/9n/ark+=13960=t18k7739n/uc2.ark+=13960=t18k7739n.basic.json.bz2	23469.0	17.414729244114003	0.28276321634828966	0.07673952874004006	0.06941071200306788
5	theo	Prolegomena to theism.	Anderson, Louis Francis, 1859-	1910.0	0.168024299	uc2.ark:/13960/t5n879b8j	uc2.ark+=13960=t5n879b8j	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/5n/87/9b/8j/ark+=13960=t5n879b8j/uc2.ark+=13960=t5n879b8j.basic.json.bz2	15954.0	14.758102294644136	0.2940959409594096	0.07690861226024821	0.022940955246333206
6	p	The socialization of humanity : an analysis and synthesis of the phenomena of nature, life, mind and society through the law of repetition ; a system of monistic philosophy / by Charles Kendall Franklin	Franklin, Charles Kendall.	1904.0	0.167349515	uc2.ark:/13960/t8jd4s19x	uc2.ark+=13960=t8jd4s19x	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/8j/d4/s1/9x/ark+=13960=t8jd4s19x/uc2.ark+=13960=t8jd4s19x.basic.json.bz2	182812.0	15.551252128139943	0.3788582830054769	0.1264687219657353	0.014878673172439447
7	p	Some modern conceptions of natural law.	Swabey, Marie Taylor (Collins), Mrs., 1891-	1920.0	0.162324406	uc2.ark:/13960/t59c6v335	uc2.ark+=13960=t59c6v335	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/59/c6/v3/35/ark+=13960=t59c6v335/uc2.ark+=13960=t59c6v335.basic.json.bz2	45354.0	13.248443026668369	0.36571196188926974	0.1121621025708868	0.031088768355602592
8	soc	Thoughts on war and peace; an inquiry into the conceptions prevailing in foreign politics,	Petrescu, Nicolae, 1886-	1921.0	0.162178659	uc2.ark:/13960/t44q7tm7d	uc2.ark+=13960=t44q7tm7d	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/44/q7/tm/7d/ark+=13960=t44q7tm7d/uc2.ark+=13960=t44q7tm7d.basic.json.bz2	29715.0	11.614931684944281	0.3652634813335382	0.12448258455325593	0.008043075887598856
9	ed	Education and social progress.	Howerth, Ira W. b. 1860.	1902.0	0.161812855	uc2.ark:/13960/t6f18vv5t	uc2.ark+=13960=t6f18vv5t	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/6f/18/vv/5t/ark+=13960=t6f18vv5t/uc2.ark+=13960=t6f18vv5t.basic.json.bz2	6374.0	15.696019423944566	0.2714968152866242	0.12362723564480703	0.02008158142453718
10	p	Benedetto Croce : an introduction to his philosophy / by Raffaello Piccoli.	Piccoli, Raffaello, 1886-1933.	1922.0	0.161078955	uc2.ark:/13960/t5h991h1z	uc2.ark+=13960=t5h991h1z	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/5h/99/1h/1z/ark+=13960=t5h991h1z/uc2.ark+=13960=t5h991h1z.basic.json.bz2	87562.0	20.726317301589322	0.3658489781558832	0.09742810808341518	0.0240172677645554
11	p	A first course in philosophy / by John E. Russell.	Russell, John Edward, 1848-1917,	1913.0	0.15961898	uc2.ark:/13960/t6639v55r	uc2.ark+=13960=t6639v55r	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/66/39/v5/5r/ark+=13960=t6639v55r/uc2.ark+=13960=t6639v55r.basic.json.bz2	98141.0	14.356140869955095	0.398789544625631	0.13402145892134787	0.01765826718700645
12	p	A first course in philosophy. By John E. Russell ...	Russell, John Edward, 1848-1917.	1913.0	0.159584752	uc2.ark:/13960/t4fn13x63	uc2.ark+=13960=t4fn13x63	basic/uc2/pairtree_root/ar/k+/=1/39/60/=t/4f/n1/3x/63/ark+=13960=t4fn13x63/uc2.ark+=13960=t4fn13x63.basic.json.bz2	99662.0	14.125305351875042	0.39621955652490004	0.13281892797656078	0.020619694567638618
