the	1	2748234083
of	1	1697146527
and	1	1184846436
to	1	998487648
in	1	772935225
a	1	685654660
that	1	412370841
is	1	376547209
it	1	338226464
was	1	306295063
as	900	289308805
his	1	283854905
by	1	275332293
he	1	270186848
with	1	269919728
for	1	264105410
be	1	261469519
which	1	251916694
i	1	223241110
not	1	200812502
on	1	200601059
this	1	195714360
at	1	190320252
from	1	185337144
or	1	179751175
but	1	179088081
have	1	157223946
are	1	157130079
had	1	154166162
they	1	145975822
their	1	139068423
all	900	130197469
were	1	124601588
an	1	117883432
we	1	116627176
one	900	106854414
been	1	96575076
so	900	95627383
him	1	94486986
who	1	93061865
them	1	89548434
you	1	88017816
no	1	85625678
her	1	81682513
there	1	80951722
will	1	80402720
when	1	80139309
its	1	78404466
if	1	77470793
has	1	77278131
more	900	74018612
would	1	73481995
may	900	71196209
my	1	70794214
any	900	65257655
other	900	64237796
our	1	63526539
these	1	63143610
upon	1	63060660
some	900	62084894
into	1	60544758
than	1	60148985
such	900	59231156
what	1	56073175
time	900	54757871
very	1200	54038541
only	900	53377313
great	900	52287256
she	1	51119679
me	1	50100475
two	900	48435526
should	1	47604884
most	900	45614399
made	900	45472233
first	900	45319930
those	1	45215526
said	900	45206963
then	900	44840457
now	900	44511061
man	900	44111206
out	1	43713744
after	1	43073411
being	1	42739303
can	900	41275373
could	900	40471907
up	1	40284173
do	900	39757832
same	900	39502771
before	1	38760443
must	900	38183079
much	900	38053278
us	1	37743514
shall	1	35685472
about	1	35468966
many	900	35395970
mr	900	35390498
every	1125	35389470
men	900	35339031
under	1	35218334
where	1	34400524
well	900	34300644
your	1	33543801
god	900	33086154
own	900	33016871
without	1	32668247
also	1125	31736048
life	900	31697286
good	900	31238692
day	900	30836501
new	900	30747669
little	900	29631222
like	1150	29344190
part	1000	29162001
see	900	28802295
even	900	28745673
over	1	28706219
himself	1	28153897
did	900	27340537
general	1250	27157604
place	950	26821521
through	1	26738297
though	1	26681562
might	900	26426495
against	1	25691683
found	1250	25625424
years	900	25266827
long	900	25250049
people	1225	25124472
how	900	24969402
yet	1	24719810
between	1	24169572
never	900	23987027
here	900	23812134
state	1175	23703284
while	900	23687229
make	900	23665921
king	900	23370221
three	900	23322652
old	900	23056554
each	900	22973617
lord	900	22508235
having	1	22395907
thus	900	22221388
still	900	22188483
way	900	22021697
country	1200	21882534
power	1250	21740645
however	1	21548278
whole	900	21518312
house	900	21464779
another	900	21442605
work	900	21234572
church	900	21105844
de	0	21012472
both	1125	20809179
last	900	20799127
called	1200	20268735
down	1	20199908
present	1250	19880963
too	900	19381378
among	1	19339037
world	900	19160024
say	900	18940254
take	1100	18825369
far	900	18408248
case	1150	18217915
given	900	18145994
whom	1	18141836
law	1000	18121312
again	900	18027433
come	900	17981043
right	900	17950060
give	900	17939818
water	900	17910033
therefore	1125	17869018
know	900	17762680
nature	1200	17669255
few	900	17500488
am	1	17131652
order	1175	16976932
year	900	16969654
name	900	16914347
ever	1000	16910950
nothing	900	16646834
nor	1	16452923
less	900	16172350
left	1125	16158806
form	1175	16125656
large	1125	16118951
t	0	16024229
themselves	1	16015877
during	1325	15939804
mind	900	15905573
taken	1100	15905457
government	1350	15897729
hand	900	15877446
came	900	15819094
thought	900	15743661
death	900	15737219
cannot	900	15679737
others	900	15623801
because	1175	15601134
things	900	15531059
whose	1	15375693
think	900	15100626
england	900	15034290
small	900	15001926
always	900	14992308
once	1150	14983063
let	900	14745809
side	900	14708231
public	1400	14622771
find	900	14424408
sir	1175	14327172
subject	1275	14258085
means	900	14245050
does	900	14241232
body	900	14200282
several	1375	14069689
just	1325	14065169
above	1	14040655
use	1175	13958408
number	1250	13938508
seen	900	13896034
go	900	13839978
ii	0	13806089
father	900	13797194
true	900	13762106
head	900	13617613
english	900	13572871
love	900	13516495
end	900	13497732
d	0	13455179
days	950	13453394
soon	900	13430957
john	0	13413210
point	1175	13393706
course	1250	13372147
certain	1250	13358669
character	1275	13349976
off	1	13283502
war	1150	13225478
young	900	13215052
act	1350	13201022
four	1000	13134456
second	1250	13053986
within	1	13045369
often	900	13028712
words	900	12957841
either	900	12917486
put	1000	12838961
known	900	12809342
st	0	12800698
since	950	12782405
done	900	12731949
different	1350	12725034
itself	1	12694592
land	900	12687558
history	1350	12659872
court	1125	12620244
heart	900	12614523
away	950	12592474
took	1100	12563253
common	1250	12445311
light	900	12436686
brought	950	12370615
high	900	12369556
p	0	12326408
city	1175	12306772
almost	1000	12302675
whether	1	12250376
best	900	12206640
states	1175	12175018
spirit	1200	12059087
thing	900	11985952
back	900	11903122
half	900	11838347
manner	1125	11834648
used	1175	11748293
following	900	11721396
fact	1530	11669861
indeed	900	11596720
person	1175	11566013
times	900	11551893
better	900	11522808
necessary	1300	11421154
account	1225	11409196
cause	1175	11386285
christ	900	11359396
son	900	11348061
received	1400	11335398
matter	1175	11248522
hundred	950	11154366
set	900	11124337
near	900	11120286
word	900	11076429
until	900	11020507
went	900	10920152
full	900	10846140
reason	1175	10781140
night	900	10771704
perhaps	1150	10751357
says	900	10712640
feet	900	10629396
question	1250	10577827
five	1000	10575271
kind	900	10564098
till	900	10563458
truth	900	10539761
sent	900	10536402
letter	1175	10500390
french	0	10457362
rather	900	10371076
next	900	10336633
children	900	10295745
together	900	10236348
according	1100	10234004
gave	900	10228680
already	1150	10196349
persons	1175	10157306
force	1250	10119450
o	0	10111283
become	900	10105651
least	950	10035013
human	1350	9982610
cases	1150	9859465
town	900	9846483
held	900	9715416
dr	1275	9696142
parts	1000	9665601
book	900	9663591
m	0	9654466
effect	1350	9647491
action	1300	9580744
ground	900	9536399
hands	900	9533335
home	900	9499312
sometimes	900	9484597
earth	950	9370995
passed	1400	9361261
v	0	9334923
latter	1000	9302509
line	1000	9289440
age	1225	9279145
purpose	1250	9266416
family	1350	9201040
system	1610	9200756
natural	1300	9173294
army	1350	9171016
party	1250	9142838
interest	1225	9127974
river	1250	9050567
view	1375	9048057
poor	1150	9004895
money	1250	8990391
sea	900	8978689
towards	1	8924395
eyes	900	8848266
knowledge	900	8841656
s	0	8838151
saw	900	8824814
believe	1150	8775939
seems	1150	8758167
became	900	8730120
early	950	8718420
air	1150	8707355
period	1375	8663610
free	900	8643727
united	1400	8617301
twenty	900	8588760
sense	1350	8572977
france	0	8521715
greater	900	8512267
heard	950	8498471
short	900	8483611
north	900	8473754
society	1525	8469745
